"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Get file with incorrect file id","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","21","Update exercise","LMS service","2026-09-21","passed","2026-09-21","Update entity","Exercises","",""
"","338","Create file","LMS service","2026-09-21","passed","2026-09-21","Create entity","Files","",""
"","18","Get exercises","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Exercises","",""
"","17","Get user me","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Users","",""
"","307","Create course","LMS service","2026-09-21","passed","2026-09-21","Create entity","Courses","",""
"","287","Get exercise","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Exercises","",""
"","21","Delete exercise","LMS service","2026-09-21","passed","2026-09-21","Delete entity","Exercises","",""
"","75","Create file with empty filename","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","17","Get file","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Files","",""
"","305","Get courses","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Courses","",""
"","297","Create exercise","LMS service","2026-09-21","passed","2026-09-21","Create entity","Exercises","",""
"","534","Create User","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","309","Update course","LMS service","2026-09-21","passed","2026-09-21","Update entity","Courses","",""
"","25","Delete file","LMS service","2026-09-21","passed","2026-09-21","Delete entity","Files","",""
"","492","Create User","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","282","Create file with empty directory","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","291","Create User","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","560","Login with correct email and password","LMS service","2026-09-21","passed","2026-09-21","Login","Authentication","",""
