"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get exercise","LMS service","2026-09-20","passed","2026-09-20","Get Entity","Exercises","",""
"","531","Create User","LMS service","2026-09-20","passed","2026-09-20","Create entity","Users","",""
"","289","Create User","LMS service","2026-09-20","passed","2026-09-20","Create entity","Users","",""
"","38","Create course","LMS service","2026-09-20","passed","2026-09-20","Create entity","Courses","",""
"","293","Delete file","LMS service","2026-09-20","passed","2026-09-20","Delete entity","Files","",""
"","15","Get file","LMS service","2026-09-20","passed","2026-09-20","Get Entity","Files","",""
"","16","Get user me","LMS service","2026-09-20","passed","2026-09-20","Get Entity","Users","",""
"","294","Delete exercise","LMS service","2026-09-20","passed","2026-09-20","Delete entity","Exercises","",""
"","404","Create file","LMS service","2026-09-20","passed","2026-09-20","Create entity","Files","",""
"","277","Create file with empty directory","LMS service","2026-09-20","passed","2026-09-20","Validate entity","Files","",""
"","487","Create User","LMS service","2026-09-20","passed","2026-09-20","Create entity","Users","",""
"","16","Get file with incorrect file id","LMS service","2026-09-20","passed","2026-09-20","Validate entity","Files","",""
"","556","Login with correct email and password","LMS service","2026-09-20","passed","2026-09-20","Login","Authentication","",""
"","289","Create exercise","LMS service","2026-09-20","passed","2026-09-20","Create entity","Exercises","",""
"","290","Update exercise","LMS service","2026-09-20","passed","2026-09-20","Update entity","Exercises","",""
"","301","Update course","LMS service","2026-09-20","passed","2026-09-20","Update entity","Courses","",""
"","298","Get courses","LMS service","2026-09-20","passed","2026-09-20","Get Entity","Courses","",""
"","68","Create file with empty filename","LMS service","2026-09-20","passed","2026-09-20","Validate entity","Files","",""
"","15","Get exercises","LMS service","2026-09-20","passed","2026-09-20","Get Entity","Exercises","",""
