"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","534","Create User","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","16","Get file with incorrect file id","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","17","Get user me","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Users","",""
"","23","Delete file","LMS service","2026-09-21","passed","2026-09-21","Delete entity","Files","",""
"","20","Delete exercise","LMS service","2026-09-21","passed","2026-09-21","Delete entity","Exercises","",""
"","289","Get exercise","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Exercises","",""
"","479","Create User","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","293","Create exercise","LMS service","2026-09-21","passed","2026-09-21","Create entity","Exercises","",""
"","309","Create course","LMS service","2026-09-21","passed","2026-09-21","Create entity","Courses","",""
"","289","Create User","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","305","Get courses","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Courses","",""
"","309","Update course","LMS service","2026-09-21","passed","2026-09-21","Update entity","Courses","",""
"","282","Create file with empty directory","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","552","Login with correct email and password","LMS service","2026-09-21","passed","2026-09-21","Login","Authentication","",""
"","16","Get file","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Files","",""
"","72","Create file with empty filename","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","20","Get exercises","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Exercises","",""
"","20","Update exercise","LMS service","2026-09-21","passed","2026-09-21","Update entity","Exercises","",""
"","321","Create file","LMS service","2026-09-21","passed","2026-09-21","Create entity","Files","",""
