"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","Get user me","LMS service","2026-09-20","passed","2026-09-20","Get Entity","Users","",""
"","58","Create file with empty filename","LMS service","2026-09-20","passed","2026-09-20","Validate entity","Files","",""
"","240","Create file with empty directory","LMS service","2026-09-20","passed","2026-09-20","Validate entity","Files","",""
"","14","Delete exercise","LMS service","2026-09-20","passed","2026-09-20","Delete entity","Exercises","",""
"","12","Get file with incorrect file id","LMS service","2026-09-20","passed","2026-09-20","Validate entity","Files","",""
"","257","Update course","LMS service","2026-09-20","passed","2026-09-20","Update entity","Courses","",""
"","11","Get file","LMS service","2026-09-20","passed","2026-09-20","Get Entity","Files","",""
"","250","Create User","LMS service","2026-09-20","passed","2026-09-20","Create entity","Users","",""
"","28","Delete file","LMS service","2026-09-20","passed","2026-09-20","Delete entity","Files","",""
"","424","Create User","LMS service","2026-09-20","passed","2026-09-20","Create entity","Users","",""
"","13","Get exercises","LMS service","2026-09-20","passed","2026-09-20","Get Entity","Exercises","",""
"","250","Get exercise","LMS service","2026-09-20","passed","2026-09-20","Get Entity","Exercises","",""
"","470","Create User","LMS service","2026-09-20","passed","2026-09-20","Create entity","Users","",""
"","274","Create file","LMS service","2026-09-20","passed","2026-09-20","Create entity","Files","",""
"","23","Create exercise","LMS service","2026-09-20","passed","2026-09-20","Create entity","Exercises","",""
"","24","Create course","LMS service","2026-09-20","passed","2026-09-20","Create entity","Courses","",""
"","16","Update exercise","LMS service","2026-09-20","passed","2026-09-20","Update entity","Exercises","",""
"","20","Get courses","LMS service","2026-09-20","passed","2026-09-20","Get Entity","Courses","",""
"","484","Login with correct email and password","LMS service","2026-09-20","passed","2026-09-20","Login","Authentication","",""
