"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Create exercise","LMS service","2026-09-20","passed","2026-09-20","Create entity","Exercises","",""
"","328","Create file","LMS service","2026-09-20","passed","2026-09-20","Create entity","Files","",""
"","19","Get exercises","LMS service","2026-09-20","passed","2026-09-20","Get Entity","Exercises","",""
"","29","Create course","LMS service","2026-09-20","passed","2026-09-20","Create entity","Courses","",""
"","73","Create file with empty filename","LMS service","2026-09-20","passed","2026-09-20","Validate entity","Files","",""
"","15","Get file","LMS service","2026-09-20","passed","2026-09-20","Get Entity","Files","",""
"","21","Delete file","LMS service","2026-09-20","passed","2026-09-20","Delete entity","Files","",""
"","293","Get exercise","LMS service","2026-09-20","passed","2026-09-20","Get Entity","Exercises","",""
"","16","Get user me","LMS service","2026-09-20","passed","2026-09-20","Get Entity","Users","",""
"","484","Create User","LMS service","2026-09-20","passed","2026-09-20","Create entity","Users","",""
"","288","Create User","LMS service","2026-09-20","passed","2026-09-20","Create entity","Users","",""
"","281","Create file with empty directory","LMS service","2026-09-20","passed","2026-09-20","Validate entity","Files","",""
"","20","Delete exercise","LMS service","2026-09-20","passed","2026-09-20","Delete entity","Exercises","",""
"","19","Update exercise","LMS service","2026-09-20","passed","2026-09-20","Update entity","Exercises","",""
"","285","Login with correct email and password","LMS service","2026-09-20","passed","2026-09-20","Login","Authentication","",""
"","531","Create User","LMS service","2026-09-20","passed","2026-09-20","Create entity","Users","",""
"","28","Get courses","LMS service","2026-09-20","passed","2026-09-20","Get Entity","Courses","",""
"","19","Get file with incorrect file id","LMS service","2026-09-20","passed","2026-09-20","Validate entity","Files","",""
"","33","Update course","LMS service","2026-09-20","passed","2026-09-20","Update entity","Courses","",""
