"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71","Create file with empty filename","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","544","Create User","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","30","Create course","LMS service","2026-09-21","passed","2026-09-21","Create entity","Courses","",""
"","15","Get user me","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Users","",""
"","311","Create file with empty directory","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","17","Update exercise","LMS service","2026-09-21","passed","2026-09-21","Update entity","Exercises","",""
"","321","Create User","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","30","Update course","LMS service","2026-09-21","passed","2026-09-21","Update entity","Courses","",""
"","18","Delete exercise","LMS service","2026-09-21","passed","2026-09-21","Delete entity","Exercises","",""
"","14","Get file","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Files","",""
"","14","Get exercises","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Exercises","",""
"","16","Get exercise","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Exercises","",""
"","602","Create User","LMS service","2026-09-21","passed","2026-09-21","Create entity","Users","",""
"","25","Get courses","LMS service","2026-09-21","passed","2026-09-21","Get Entity","Courses","",""
"","351","Create file","LMS service","2026-09-21","passed","2026-09-21","Create entity","Files","",""
"","18","Create exercise","LMS service","2026-09-21","passed","2026-09-21","Create entity","Exercises","",""
"","19","Delete file","LMS service","2026-09-21","passed","2026-09-21","Delete entity","Files","",""
"","17","Get file with incorrect file id","LMS service","2026-09-21","passed","2026-09-21","Validate entity","Files","",""
"","619","Login with correct email and password","LMS service","2026-09-21","passed","2026-09-21","Login","Authentication","",""
